------------------------------------------------------------
Client connecting to 10.0.0.8, TCP port 5555 with pid 10527
Write buffer size: 9.54 MByte
TCP window size:  156 KByte (WARNING: requested 78.1 KByte)
------------------------------------------------------------
[  3] local 10.0.0.6 port 34048 connected with 10.0.0.8 port 5555 (ct=16.42 ms)
[ ID] Interval            Transfer    Bandwidth       Write/Err  Rtry     Cwnd/RTT        NetPwr
[  3] 0.0000-1.0000 sec  7.52 MBytes  63.1 Mbits/sec  2/0          0      504K/16117 us  489.20
[  3] 1.0000-2.0000 sec  0.00 Bytes  0.00 bits/sec  0/0          0      504K/16117 us  0.00
[  3] 2.0000-3.0000 sec  0.00 Bytes  0.00 bits/sec  0/0          0      504K/16117 us  0.00
[  3] 3.0000-4.0000 sec  0.00 Bytes  0.00 bits/sec  0/0          0      504K/16117 us  0.00
[  3] 4.0000-5.0000 sec  0.00 Bytes  0.00 bits/sec  0/0          0      504K/16117 us  0.00
[  3] 5.0000-6.0000 sec  0.00 Bytes  0.00 bits/sec  0/0          0      504K/16117 us  0.00
[  3] 6.0000-7.0000 sec  0.00 Bytes  0.00 bits/sec  0/0          0      504K/16117 us  0.00
[  3] 7.0000-8.0000 sec  0.00 Bytes  0.00 bits/sec  0/0          0      504K/16117 us  0.00
[  3] 8.0000-9.0000 sec  4.04 MBytes  33.9 Mbits/sec  1/0          0      602K/13294 us  318.81
[  3] 9.0000-10.0000 sec  0.00 Bytes  0.00 bits/sec  0/0          0      602K/13294 us  0.00
[  3] 10.0000-11.0000 sec  0.00 Bytes  0.00 bits/sec  0/0          0      602K/13294 us  0.00
[  3] 11.0000-12.0000 sec  0.00 Bytes  0.00 bits/sec  0/0          0      602K/13294 us  0.00
[  3] 12.0000-13.0000 sec  0.00 Bytes  0.00 bits/sec  0/0          0      602K/13294 us  0.00
[  3] 13.0000-14.0000 sec  3.73 MBytes  31.3 Mbits/sec  1/0          0      588K/13087 us  298.74
[  3] 14.0000-15.0000 sec  0.00 Bytes  0.00 bits/sec  0/0          0      588K/13087 us  0.00
[  3] 15.0000-16.0000 sec  0.00 Bytes  0.00 bits/sec  0/0          0      588K/13087 us  0.00
[  3] 16.0000-17.0000 sec  0.00 Bytes  0.00 bits/sec  0/0          0      588K/13087 us  0.00
[  3] 17.0000-18.0000 sec  0.00 Bytes  0.00 bits/sec  0/0          0      588K/13087 us  0.00
[  3] 18.0000-19.0000 sec  0.00 Bytes  0.00 bits/sec  0/0          0      588K/13087 us  0.00
[  3] 19.0000-20.0000 sec  2.69 MBytes  22.6 Mbits/sec  1/0          1      452K/19901 us  141.74
[  3] 20.0000-21.0000 sec  0.00 Bytes  0.00 bits/sec  0/0          1      452K/19901 us  0.00
[  3] 21.0000-22.0000 sec  0.00 Bytes  0.00 bits/sec  0/0          1      452K/19901 us  0.00
[  3] 22.0000-23.0000 sec  0.00 Bytes  0.00 bits/sec  0/0          1      452K/19901 us  0.00
[  3] 23.0000-24.0000 sec  0.00 Bytes  0.00 bits/sec  0/0          1      452K/19901 us  0.00
[  3] 24.0000-25.0000 sec  0.00 Bytes  0.00 bits/sec  0/0          1      452K/19901 us  0.00
[  3] 25.0000-26.0000 sec  0.00 Bytes  0.00 bits/sec  0/0          1      452K/19901 us  0.00
[  3] 26.0000-27.0000 sec  2.62 MBytes  22.0 Mbits/sec  1/0          0      766K/13226 us  208.01
[  3] 27.0000-28.0000 sec  0.00 Bytes  0.00 bits/sec  0/0          0      766K/13226 us  0.00
[  3] 28.0000-29.0000 sec  0.00 Bytes  0.00 bits/sec  0/0          0      766K/13226 us  0.00
[  3] 29.0000-30.0000 sec  0.00 Bytes  0.00 bits/sec  0/0          0      766K/13226 us  0.00
[  3] 30.0000-31.0000 sec  2.75 MBytes  23.1 Mbits/sec  1/0          0      452K/13310 us  216.82
